first_name,second_name,id,web_name,now_cost,cost_change_start,element_type,selected_by_percent,team,team_code,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,saves,bonus,bps
Christian,Eriksen,343,Eriksen,86,-4,3,2.8,17,6,28,729,1,1,1,13,3,0,0,3,114
Bamidele,Alli,344,Alli,87,2,3,12.5,17,6,60,713,5,3,2,9,1,0,0,8,198
Lucas,Rodrigues Moura da Silva,345,Lucas Moura,70,-5,3,4.2,17,6,40,636,3,1,1,8,0,0,0,0,132
Erik,Lamela,346,Lamela,57,-3,3,1.2,17,6,32,602,2,2,1,9,2,0,0,2,130
Harry,Winks,347,Winks,53,-2,3,0.3,17,6,21,926,0,0,1,18,4,0,0,0,159
Victor,Wanyama,348,Wanyama,48,-2,3,0.1,17,6,1,24,0,0,0,2,1,0,0,0,5
Moussa,Sissoko,349,Sissoko,49,-1,3,2.1,17,6,44,1328,2,1,3,20,3,0,0,0,227
Eric,Dier,350,Dier,49,-1,3,0.2,17,6,9,462,0,0,1,8,3,0,0,0,48
Luke,Amos,351,Amos,45,0,3,0.0,17,6,0,0,0,0,0,0,0,0,0,0,0
Oliver,Skipp,352,Skipp,44,-1,3,0.5,17,6,3,12,0,0,0,0,0,0,0,0,8
Tanguy,Ndombele,442,Ndombele,58,-2,3,2.6,17,6,32,667,2,1,1,10,2,0,0,2,143
Troy,Parrott,509,Parrott,44,-1,4,0.8,17,6,1,5,0,0,0,0,0,0,0,0,3
Giovani,Lo Celso,523,Lo Celso,73,-2,3,0.2,17,6,9,160,0,0,0,3,0,0,0,0,33
Ryan,Sessegnon,524,Sessegnon,54,-1,3,0.1,17,6,2,16,0,0,0,0,0,0,0,0,6
Georges-Kévin,Nkoudou,527,Nkoudou,50,0,3,0.0,17,6,1,2,0,0,0,0,0,0,0,0,3
Alfie,Whiteman,543,Whiteman,40,0,1,0.4,17,6,0,0,0,0,0,0,0,0,0,0,0
Michel,Vorm,555,Vorm,43,-2,1,0.0,17,6,0,0,0,0,0,0,0,0,0,0,0
Brandon,Austin,558,Austin,40,0,1,0.1,17,6,0,0,0,0,0,0,0,0,0,0,0
José,Holebas,353,Holebas,47,-3,2,0.8,18,57,15,974,0,0,2,25,5,0,0,0,135
Christian,Kabasele,354,Kabasele,43,-2,2,0.2,18,57,27,694,0,0,4,6,1,1,0,1,132
Adam,Masina,355,Masina,43,-2,2,0.1,18,57,14,479,0,0,2,9,2,0,0,0,63
