first_name,second_name,id,web_name,now_cost,cost_change_start,element_type,selected_by_percent,team,team_code,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,saves,bonus,bps
Jack,Simpson,66,Simpson,40,0,2,7.1,3,91,3,167,0,0,0,4,0,0,0,0,25
Callum,Wilson,67,Callum Wilson,74,-6,4,4.9,3,91,89,2166,7,3,3,42,6,0,0,8,265
Joshua,King,68,King,61,-4,4,3.3,3,91,61,1394,3,3,3,21,0,0,0,6,191
Dominic,Solanke,69,Solanke,52,-3,4,0.3,3,91,40,1154,0,2,1,25,1,0,0,0,75
Sam,Surridge,71,Surridge,43,-2,4,0.6,3,91,1,15,0,0,0,1,0,0,0,0,3
Asmir,Begovic,72,Begovic,42,-3,1,0.7,3,91,0,0,0,0,0,0,0,0,0,0,0
Artur,Boruc,73,Boruc,43,-2,1,0.2,3,91,0,0,0,0,0,0,0,0,0,0,0
Mark,Travers,74,Travers,42,-3,1,0.2,3,91,1,90,0,0,0,3,0,0,2,0,9
Ryan,Fraser,75,Fraser,68,-7,3,2.7,3,91,66,1881,1,4,4,30,2,0,0,2,277
David,Brooks,76,Brooks,62,-3,3,0.1,3,91,0,0,0,0,0,0,0,0,0,0,0
Junior,Stanislas,77,Stanislas,59,-1,3,0.0,3,91,5,132,0,0,0,4,0,0,0,0,20
Jordon,Ibe,78,Ibe,46,-4,3,0.1,3,91,2,48,0,0,0,1,0,0,0,0,10
Lewis,Cook,79,Lewis Cook,50,0,3,0.0,3,91,28,830,0,1,2,16,3,0,0,0,125
Andrew,Surman,80,Surman,47,-3,3,0.0,3,91,6,234,0,0,0,6,1,0,0,0,28
Dan,Gosling,81,Gosling,49,-1,3,0.1,3,91,37,859,2,1,1,15,1,0,0,1,120
Jefferson,Lerma,82,Lerma,48,-2,3,0.1,3,91,36,1773,0,1,3,29,9,1,0,2,233
Jack,Stacey,446,Stacey,43,-2,2,0.1,3,91,24,886,0,1,1,15,2,0,0,3,146
Philip,Billing,476,Billing,50,0,3,0.2,3,91,56,1982,1,1,5,32,7,0,0,5,286
Arnaut,Danjuma Groeneveld,492,Danjuma,58,-2,3,0.0,3,91,18,405,0,1,2,6,0,0,0,0,55
Aaron,Ramsdale,494,Ramsdale,46,1,1,3.8,3,91,92,2340,0,1,4,40,0,0,93,10,485
Harry,Wilson,505,Harry Wilson,58,-2,3,2.2,3,91,84,1432,7,1,2,28,1,0,0,7,280
Christian,Saydee,564,Saydee,45,0,3,0.0,3,91,0,0,0,0,0,0,0,0,0,0,0
Gavin,Kilkenny,565,Kilkenny,45,0,3,0.0,3,91,0,0,0,0,0,0,0,0,0,0,0
Mihai-Alexandru,Dobre,574,Dobre,45,0,3,0.0,3,91,0,0,0,0,0,0,0,0,0,0,0
Shane,Duffy,37,Duffy,48,-2,2,0.9,4,36,36,1071,1,0,2,15,1,0,0,1,187
Martín,Montoya,38,Montoya,44,-1,2,0.6,4,36,54,1536,0,1,5,24,3,0,0,3,263
Bernardo,Fernandes da Silva Junior,39,Bernardo,43,-2,2,0.1,4,36,18,541,0,0,1,12,1,0,0,3,102
Leon,Balogun,40,Balogun,44,-1,2,0.1,4,36,0,0,0,0,0,0,0,0,0,0,0
Gaëtan,Bong,41,Bong,42,-3,2,0.1,4,36,3,57,0,0,0,3,0,0,0,0,15
Lewis,Dunk,42,Dunk,48,3,2,13.4,4,36,83,2250,2,3,5,35,8,0,0,11,469
Matthew,Clarke,43,Clarke,44,-1,2,0.0,4,36,0,0,0,0,0,0,0,0,0,0,0
Glenn,Murray,44,Murray,54,-6,4,0.7,4,36,28,677,1,0,2,9,0,0,0,0,51
Jürgen,Locadia,45,Locadia,52,-3,4,0.1,4,36,3,85,0,0,1,1,0,0,0,0,5
Florin,Andone,46,Andone,47,-3,4,0.4,4,36,5,71,1,0,0,2,0,1,0,1,20
Mathew,Ryan,47,Ryan,48,3,1,15.2,4,36,93,2430,0,0,5,39,0,0,89,11,539
David,Button,48,Button,39,-1,1,20.7,4,36,0,0,0,0,0,0,0,0,0,0,0
Pascal,Groß,49,Groß,63,-2,3,0.5,4,36,69,1485,2,5,3,25,2,0,0,7,298
Alireza,Jahanbakhsh,50,Jahanbakhsh,58,-2,3,0.1,4,36,24,264,2,1,1,3,0,0,0,2,75
José Heriberto,Izquierdo Mena,51,Izquierdo,54,-1,3,0.0,4,36,0,0,0,0,0,0,0,0,0,0,0
Anthony,Knockaert,52,Knockaert,54,-1,3,0.0,4,36,0,0,0,0,0,0,0,0,0,0,0
Yves,Bissouma,53,Bissouma,50,0,3,0.0,4,36,14,492,0,0,1,6,2,0,0,0,72
Davy,Pröpper,54,Pröpper,48,-2,3,0.4,4,36,59,2160,1,2,4,35,4,0,0,2,352
Solomon,March,55,March,46,-4,3,0.2,4,36,24,736,0,1,2,12,2,0,0,3,99
Beram,Kayal,56,Kayal,43,-2,3,0.2,4,36,0,0,0,0,0,0,0,0,0,0,0
Dale,Stephens,57,Stephens,44,-1,3,1.8,4,36,47,1939,0,1,4,33,6,0,0,1,319
Leandro,Trossard,421,Trossard,58,-2,3,0.5,4,36,70,1267,3,5,1,23,0,0,0,6,258
Dan,Burn,475,Burn,45,0,2,0.2,4,36,50,1967,0,0,5,31,3,0,0,0,329
Adam,Webster,493,Webster,44,-1,2,0.6,4,36,61,1835,3,1,2,32,3,0,0,7,354
Neal,Maupay,502,Maupay,58,-2,4,1.8,4,36,97,1929,8,2,5,27,3,0,0,15,272
Aaron,Mooy,516,Mooy,48,-2,3,0.8,4,36,59,1473,2,1,3,25,0,1,0,9,239
Aaron,Connolly,534,Connolly,43,-2,4,1.3,4,36,41,827,2,2,3,13,0,0,0,3,90
Tudor,Baluta,536,Baluta,40,0,2,0.2,4,36,0,0,0,0,0,0,0,0,0,0,0
Steven,Alzate,537,Alzate,45,0,3,0.1,4,36,32,1173,0,0,3,18,1,0,0,0,175
Ezequiel,Schelotto,546,Schelotto,40,0,2,0.5,4,36,8,287,0,0,0,6,1,0,0,0,33
Tariq,Lamptey,586,Lamptey,40,0,2,0.1,4,36,1,31,0,0,0,0,0,0,0,0,8
Alexis,Mac Allister,627,Mac Allister,55,0,3,0.0,4,36,0,0,0,0,0,0,0,0,0,0,0
Ben,Mee,83,Mee,50,0,2,1.1,5,90,80,2430,0,2,10,39,6,0,0,1,448
James,Tarkowski,84,Tarkowski,51,1,2,3.5,5,90,94,2430,1,2,10,39,6,0,0,9,470
Matthew,Lowton,85,Lowton,42,-3,2,0.4,5,90,41,1350,0,1,5,26,2,0,0,0,236
Phil,Bardsley,86,Bardsley,43,-2,2,0.2,5,90,41,1080,0,1,5,13,3,0,0,2,198
Charlie,Taylor,87,Taylor,42,-3,2,1.5,5,90,48,1195,0,0,6,10,2,0,0,2,227
Kevin,Long,88,Long,43,-2,2,0.1,5,90,1,2,0,0,0,0,0,0,0,0,2
Ben,Gibson,89,Gibson,39,-1,2,2.6,5,90,0,0,0,0,0,0,0,0,0,0,0
Ashley,Barnes,90,Barnes,61,-4,4,2.2,5,90,61,1350,6,0,8,21,4,0,0,6,161
Chris,Wood,91,Wood,62,-3,4,1.5,5,90,99,1939,10,1,10,27,1,0,0,13,273
Matej,Vydra,92,Vydra,53,-2,4,0.1,5,90,24,249,2,1,2,1,0,0,0,3,79
Nick,Pope,93,Pope,47,2,1,16.1,5,90,116,2430,0,0,10,39,0,0,84,14,558
Joe,Hart,95,Hart,42,-3,1,1.1,5,90,0,0,0,0,0,0,0,0,0,0,0
Johann Berg,Gudmundsson,96,Gudmundsson,59,-1,3,0.4,5,90,20,398,1,0,3,4,0,0,0,1,66
Dwight,McNeil,97,McNeil,60,0,3,0.5,5,90,92,2349,2,6,11,37,4,0,0,4,388
