,first_name,second_name,id,web_name,now_cost,cost_change_start,element_type,selected_by_percent,team,team_code,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,saves,bonus,bps,points_per_million,points_per_minute,full_name
602,Diogo,Jota,410,Jota,61,-4,4,2.9,20,39,59,1547,3,1,5,22,3,0,0,6,179,0.9672131147540983,0.03813833225597932,Diogo Jota
603,Rui Pedro,dos Santos Patrício,411,Patrício,51,1,1,9.1,20,39,102,2343,0,0,6,32,0,0,69,8,453,2.0,0.04353393085787452,Rui Pedro dos Santos Patrício
604,John,Ruddy,412,Ruddy,43,-2,1,0.4,20,39,0,0,0,0,0,0,0,0,0,0,0,0.0,,John Ruddy
605,Will,Norris,413,Norris,39,-1,1,0.6,20,39,0,0,0,0,0,0,0,0,0,0,0,0.0,,Will Norris
606,Rúben Diogo,da Silva Neves,414,Neves,52,-3,3,4.5,20,39,64,2035,2,1,6,27,7,0,0,4,332,1.2307692307692308,0.03144963144963145,Rúben Diogo da Silva Neves
607,João Filipe Iria,Santos Moutinho,415,Moutinho,54,-1,3,5.1,20,39,87,2167,1,7,5,30,5,0,0,11,462,1.6111111111111112,0.04014766958929396,João Filipe Iria Santos Moutinho
608,Morgan,Gibbs-White,416,Gibbs-White,47,-3,3,0.1,20,39,8,122,0,1,0,2,0,0,0,0,31,0.1702127659574468,0.06557377049180328,Morgan Gibbs-White
609,Adama,Traoré,417,Traoré,59,9,3,21.8,20,39,104,1951,4,7,4,28,0,0,0,14,443,1.7627118644067796,0.05330599692465402,Adama Traoré
610,Hélder,Costa,418,Costa,49,-1,3,0.0,20,39,0,0,0,0,0,0,0,0,0,0,0,0.0,,Hélder Costa
611,Ivan,Cavaleiro,419,Cavaleiro,49,-1,3,0.0,20,39,0,0,0,0,0,0,0,0,0,0,0,0.0,,Ivan Cavaleiro
612,Leander,Dendoncker,420,Dendoncker,44,-1,3,9.6,20,39,65,2091,2,0,5,29,3,0,0,6,312,1.4772727272727273,0.031085604973696796,Leander Dendoncker
613,Jesús,Vallejo Lázaro,473,Vallejo,46,-4,2,0.2,20,39,1,162,0,0,0,6,1,0,0,0,22,0.021739130434782608,0.006172839506172839,Jesús Vallejo Lázaro
614,Patrick,Cutrone,487,Cutrone,55,-5,4,0.5,20,39,23,292,2,0,1,6,0,0,0,0,69,0.41818181818181815,0.07876712328767123,Patrick Cutrone
615,Pedro,Lomba Neto,528,Neto,50,0,3,0.2,20,39,40,680,2,2,1,8,2,0,0,0,133,0.8,0.058823529411764705,Pedro Lomba Neto
616,Bernard,Ashley-Seal,559,Ashley-Seal,45,0,4,0.0,20,39,0,0,0,0,0,0,0,0,0,0,0,0.0,,Bernard Ashley-Seal
617,Taylor,Perry,560,Perry,45,0,3,0.0,20,39,0,0,0,0,0,0,0,0,0,0,0,0.0,,Taylor Perry
618,Owen,Otasowie,566,Otasowie,45,0,3,0.0,20,39,0,0,0,0,0,0,0,0,0,0,0,0.0,,Owen Otasowie
619,Luke,Cundle,567,Cundle,45,0,3,0.0,20,39,0,0,0,0,0,0,0,0,0,0,0,0.0,,Luke Cundle
620,Oskar,Buur,587,Buur,40,0,2,0.1,20,39,0,0,0,0,0,0,0,0,0,0,0,0.0,,Oskar Buur
621,Ryan,Giles,607,Giles,40,0,2,0.0,20,39,0,0,0,0,0,0,0,0,0,0,0,0.0,,Ryan Giles
622,Bruno André,Cavaco Jordao,609,Jordao,45,0,3,0.0,20,39,0,0,0,0,0,0,0,0,0,0,0,0.0,,Bruno André Cavaco Jordao
623,Daniel,Castelo Podence,619,Podence,54,-1,3,0.0,20,39,2,26,0,0,0,0,0,0,0,0,7,0.037037037037037035,0.07692307692307693,Daniel Castelo Podence
